Order ID,用途碼,用途中文說明,標準板編號,塗料編號,製造批號,Coil No.,Time,Coating Thickness正面,"Minimum thickness
 正面","Coating Thickness
 正面 -北","Coating Thickness
 正面 -南","Avergage Thickness
  (µm)正面",光澤60度反射(下限),光澤60度反射(上限),入料檢測-光澤,光澤-正-北,光澤-正-南,"Average value
 光澤正面","正-北
 ΔE","正-北
 ΔL","正-北
Δa","正-北
Δb","正-南
 ΔE","正-南
ΔL","正-南
Δa","正-南
Δb","Average value
ΔE 正面","Average value
ΔL 正面","Average value
 Δa 正面","Average value
Δb 正面","入料檢測
ΔE 正面","入料檢測
 ΔL 正面","入料檢測
Δa 正面","入料檢測
Δb 正面"
W3K33Y205,KD3N,隔間面板(背面層黏貼/發泡),YS20428A1,PT20428A1,KT64339014,4CB449B00,2025/1/5,25,23,24.6,24.7,24.7,20,30,29,27,26.8,26.9,0.61,0.48,-0.12,0.35,0.58,0.45,-0.13,0.35,0.595,0.465,-0.125,0.35,0.28,-0.14,-0.06,0.23
W3K33Y203,KD3N,隔間面板(背面層黏貼/發泡),YS2F123NT,PN2F123NT,N113-C51,4CB450A00,2025/1/5,25,23,24.7,24.7,24.7,20,30,30,31,30.7,30.85,0.6,0.34,-0.21,0.45,0.61,0.37,-0.23,0.43,0.605,0.355,-0.22,0.44,0.36,0.08,0.08,0.34
W3K33Y203,KD3N,隔間面板(背面層黏貼/發泡),YS2F123NT,PN2F123NT,N113-C51,4CB451B00,2025/1/5,25,23,24.6,24.7,24.7,20,30,30,31.2,30.9,31.05,0.64,0.38,-0.22,0.46,0.62,0.38,-0.24,0.42,0.63,0.38,-0.23,0.44,0.36,0.08,0.08,0.34
W3K33Y203,KD3N,隔間面板(背面層黏貼/發泡),YS2F123NT,PN2F123NT,N113-A20,4CB452A00,2025/1/5,25,23,24.5,24.7,24.6,20,30,23,31.5,32,31.75,0.7,0.44,-0.19,0.51,0.65,0.43,-0.21,0.44,0.675,0.435,-0.2,0.475,0.37,0.05,0.02,0.37
W3K33Y203,KD3N,隔間面板(背面層黏貼/發泡),YS2F123NT,PN2F123NT,N113-A20,4CB452B00,2025/1/5,25,23,24.6,24.6,24.6,20,30,23,31.6,31.9,31.75,0.68,0.44,-0.16,0.49,0.67,0.43,-0.2,0.48,0.675,0.435,-0.18,0.485,0.37,0.05,0.02,0.37
D3K33V412,KD3N,隔間面板(背面層黏貼/發泡),YS2G128L8,PT2G128L8,KT64303001,4CB645A00,2025/1/5,25,23,24.7,24.5,24.6,20,30,23,24.9,24.8,24.85,0.09,0.04,0.02,-0.08,0.13,0.06,0.05,-0.1,0.11,0.05,0.035,-0.09,0.2,-0.16,-0.04,-0.12
D3K33V412,KD3N,隔間面板(背面層黏貼/發泡),YS2G128L8,PT2G128L8,KT64303001,4CB645B00,2025/1/5,25,23,24.8,24.5,24.7,20,30,23,24.8,24.8,24.8,0.1,0.03,0.06,-0.07,0.07,0.05,0.02,-0.04,0.085,0.04,0.04,-0.055,0.2,-0.16,-0.04,-0.12
D3K33V412,KD3N,隔間面板(背面層黏貼/發泡),YS2G128L8,PT2G128L8,KT64354021,4CB646B00,2025/1/5,25,23,24.7,24.5,24.6,20,30,24,24.7,24.9,24.8,0.08,0.04,0.01,-0.07,0.05,0.02,0.04,-0.02,0.065,0.03,0.025,-0.045,0.39,-0.37,-0.03,0.11
D3K33K101,KD3L,隔間面板(抗靜電),YS2E1230L,PK2E1230L,412-0178,4CB522A00,2025/1/6,25,23,25.3,25.2,25.3,15,25,21,23.7,23.3,23.5,0.76,-0.62,-0.35,-0.26,0.78,-0.65,-0.36,-0.25,0.77,-0.635,-0.355,-0.255,0.84,-0.52,0.21,-0.63
PGK35B401,KDR6,輕鋼架(環保),YS2F11WL9 /YS2F11WLA,PT2F11WL9,KT65002001,4CB255B00,2025/1/7,32,29,31.7,31.5,31.6,12,18,15,16,18.8,17.4,0.43,-0.05,-0.11,-0.41,0.5,0,-0.11,-0.49,0.465,-0.025,-0.11,-0.45,0.46,-0.22,-0.09,-0.4
PGK35B401,KDR6,輕鋼架(環保),YS2F11WL9 /YS2F11WLA,PT2F11WL9,KT65002001,4CB256B00,2025/1/7,32,29,31.6,31.7,31.7,12,18,15,16.5,18.7,17.6,0.39,-0.09,-0.14,-0.35,0.41,-0.05,-0.14,-0.38,0.4,-0.07,-0.14,-0.365,0.46,-0.22,-0.09,-0.4
